#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_bank_and_chapel;Bank and Chapel;Bank and Chapel;Bank and Chapel;;Bank and Chapel;;;;;;;;;x
b_bank_and_chapel_adj;Bankian;;Bank and Chapeler;;;;;;;;;;;x
b_bank_and_chapel_2;Bank and Chapel;Bank and Chapel;Bank and Chapel;;Bank and Chapel;;;;;;;;;x
b_bank_and_chapel_2_adj;Bankian;;Bank and Chapeler;;;;;;;;;;;x
b_bank_and_chapel_3;Bank and Chapel;Bank and Chapel;Bank and Chapel;;Bank and Chapel;;;;;;;;;x
b_bank_and_chapel_3_adj;Bankian;;Bank and Chapeler;;;;;;;;;;;x
b_barbarian_passageway;Barbarian Passageway;Barbarian Passageway;Barbarian Passageway;;Barbarian Passageway;;;;;;;;;x
b_barbarian_passageway_adj;Barbarian Passagewaian;;Barbarian Passagewaer;;;;;;;;;;;x
b_barbarian_passageway_2;Barbarian Passageway;Barbarian Passageway;Barbarian Passageway;;Barbarian Passageway;;;;;;;;;x
b_barbarian_passageway_2_adj;Barbarian Passagewaian;;Barbarian Passagewaer;;;;;;;;;;;x
b_barbarian_passageway_3;Barbarian Passageway;Barbarian Passageway;Barbarian Passageway;;Barbarian Passageway;;;;;;;;;x
b_barbarian_passageway_3_adj;Barbarian Passagewaian;;Barbarian Passagewaer;;;;;;;;;;;x
b_barbarian_path;Barbarian Path;Barbarian Path;Barbarian Path;;Barbarian Path;;;;;;;;;x
b_barbarian_path_adj;Barbarian Pathian;;Barbarian Pather;;;;;;;;;;;x
b_barbarian_path_2;Barbarian Path;Barbarian Path;Barbarian Path;;Barbarian Path;;;;;;;;;x
b_barbarian_path_2_adj;Barbarian Pathian;;Barbarian Pather;;;;;;;;;;;x
b_barbarian_path_3;Barbarian Path;Barbarian Path;Barbarian Path;;Barbarian Path;;;;;;;;;x
b_barbarian_path_3_adj;Barbarian Pathian;;Barbarian Pather;;;;;;;;;;;x
b_barbarian_square;Barbarian Square;Barbarian Square;Barbarian Square;;Barbarian Square;;;;;;;;;x
b_barbarian_square_adj;Barbarian Squarean;;Barbarian Squarer;;;;;;;;;;;x
b_barbarian_square_2;Barbarian Square;Barbarian Square;Barbarian Square;;Barbarian Square;;;;;;;;;x
b_barbarian_square_2_adj;Barbarian Squarean;;Barbarian Squarer;;;;;;;;;;;x
b_barbarian_square_3;Barbarian Square;Barbarian Square;Barbarian Square;;Barbarian Square;;;;;;;;;x
b_barbarian_square_3_adj;Barbarian Squarean;;Barbarian Squarer;;;;;;;;;;;x
b_champions_guild;Champions' Guild;Champions' Guild;Champions' Guild;;Champions' Guild;;;;;;;;;x
b_champions_guild_adj;Champions' Guildian;;Champions' Guilder;;;;;;;;;;;x
b_champions_guild_2;Champions' Guild;Champions' Guild;Champions' Guild;;Champions' Guild;;;;;;;;;x
b_champions_guild_2_adj;Champions' Guildian;;Champions' Guilder;;;;;;;;;;;x
b_champions_guild_3;Champions' Guild;Champions' Guild;Champions' Guild;;Champions' Guild;;;;;;;;;x
b_champions_guild_3_adj;Champions' Guildian;;Champions' Guilder;;;;;;;;;;;x
b_champions_guild_path;Champions' Guild Path;Champions' Guild Path;Champions' Guild Path;;Champions' Guild Path;;;;;;;;;x
b_champions_guild_path_adj;Champions' Guild Pathian;;Champions' Guild Pather;;;;;;;;;;;x
