#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_bank_and_chapel;Bank and Chapel;Bank and Chapel;Bank and Chapel;;Bank and Chapel;;;;;;;;;x
c_bank_and_chapel_adj;Bankian;;Bank and Chapeler;;;;;;;;;;;x
c_barbarian_passageway;Barbarian Passageway;Barbarian Passageway;Barbarian Passageway;;Barbarian Passageway;;;;;;;;;x
c_barbarian_passageway_adj;Barbarian Passagewaian;;Barbarian Passagewaer;;;;;;;;;;;x
c_barbarian_path;Barbarian Path;Barbarian Path;Barbarian Path;;Barbarian Path;;;;;;;;;x
c_barbarian_path_adj;Barbarian Pathian;;Barbarian Pather;;;;;;;;;;;x
c_barbarian_square;Barbarian Square;Barbarian Square;Barbarian Square;;Barbarian Square;;;;;;;;;x
c_barbarian_square_adj;Barbarian Squarean;;Barbarian Squarer;;;;;;;;;;;x
c_champions_guild;Champions' Guild;Champions' Guild;Champions' Guild;;Champions' Guild;;;;;;;;;x
c_champions_guild_adj;Champions' Guildian;;Champions' Guilder;;;;;;;;;;;x
c_champions_guild_path;Champions' Guild Path;Champions' Guild Path;Champions' Guild Path;;Champions' Guild Path;;;;;;;;;x
c_champions_guild_path_adj;Champions' Guild Pathian;;Champions' Guild Pather;;;;;;;;;;;x
c_cooking_guild;Cooking Guild;Cooking Guild;Cooking Guild;;Cooking Guild;;;;;;;;;x
c_cooking_guild_adj;Cooking Guildian;;Cooking Guilder;;;;;;;;;;;x
c_deadwoods;Deadwoods;Deadwoods;Deadwoods;;Deadwoods;;;;;;;;;x
c_deadwoods_adj;Deadwoodsian;;deadwoodser;;;;;;;;;;;x
c_draynor_cross;Draynor Cross;Draynor Cross;Draynor Cross;;Draynor Cross;;;;;;;;;x
c_draynor_cross_adj;Draynor Crossian;;Draynor Crosser;;;;;;;;;;;x
c_draynor_cross_deadwoods;Draynor Cross Deadwoods;Draynor Cross Deadwoods;Draynor Cross Deadwoods;;Draynor Cross Deadwoods;;;;;;;;;x
c_draynor_cross_deadwoods_adj;Draynor Cross Deadwoodsian;;Draynor Cross Deadwoodser;;;;;;;;;;;x
c_draynor_field;Draynor Field;Draynor Field;Draynor Field;;Draynor Field;;;;;;;;;x
c_draynor_field_adj;Draynor Fieldian;;Draynor Fielder;;;;;;;;;;;x
c_draynor_jail;Draynor Jail;Draynor Jail;Draynor Jail;;Draynor Jail;;;;;;;;;x
c_draynor_jail_adj;Draynor Jailian;;Draynor Jailer;;;;;;;;;;;x
c_draynor_manor;Draynor Manor;Draynor Manor;Draynor Manor;;Draynor Manor;;;;;;;;;x
c_draynor_manor_adj;Draynor Manorian;;Draynor Manorer;;;;;;;;;;;x
c_east_edgeville;East Edgeville;East Edgeville;East Edgeville;;East Edgeville;;;;;;;;;x
c_east_edgeville_adj;East Edgevillean;;East Edgeviller;;;;;;;;;;;x
c_east_grand_exchange;East Grand Exchange;East Grand Exchange;East Grand Exchange;;East Grand Exchange;;;;;;;;;x
c_east_grand_exchange_adj;East Grand Exchangean;;East Grand Exchanger;;;;;;;;;;;x
c_east_varrock_bank;East Varrock Bank;East Varrock Bank;East Varrock Bank;;East Varrock Bank;;;;;;;;;x
c_east_varrock_bank_adj;East Varrock Bankian;;East Varrock Banker;;;;;;;;;;;x
c_east_varrock_lum_plains;East Varrock Lum Plains;East Varrock Lum Plains;East Varrock Lum Plains;;East Varrock Lum Plains;;;;;;;;;x
c_east_varrock_lum_plains_adj;East Varrock Lum Plainsian;;East Varrock Lum Plainser;;;;;;;;;;;x
c_east_varrock_path;East Varrock Path;East Varrock Path;East Varrock Path;;East Varrock Path;;;;;;;;;x
c_east_varrock_path_adj;East Varrock Pathian;;East Varrock Pather;;;;;;;;;;;x
c_east_varrock_teastall;East Varrock Teastall;East Varrock Teastall;East Varrock Teastall;;East Varrock Teastall;;;;;;;;;x
c_east_varrock_teastall_adj;East Varrock Teastallian;;East Varrock Teastaller;;;;;;;;;;;x
c_east_varrock_temple;East Varrock Temple;East Varrock Temple;East Varrock Temple;;East Varrock Temple;;;;;;;;;x
c_east_varrock_temple_adj;East Varrock Templean;;East Varrock Templer;;;;;;;;;;;x
