#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_barbarian_path;Barbarian Path;Barbarian Path;Barbarian Path;;Barbarian Path;;;;;;;;;x
d_barbarian_path_adj;Barbarian Pathian;;Barbarian Pather;;;;;;;;;;;x
d_barbarian_villiage;Barbarian Villiage;Barbarian Villiage;Barbarian Villiage;;Barbarian Villiage;;;;;;;;;x
d_barbarian_villiage_adj;Barbarian Villiagean;;Barbarian Villiager;;;;;;;;;;;x
d_champions_guild;Champions' Guild;Champions' Guild;Champions' Guild;;Champions' Guild;;;;;;;;;x
d_champions_guild_adj;Champions' Guildian;;Champions' Guilder;;;;;;;;;;;x
d_draynor_chokehold;Draynor Chokehold;Draynor Chokehold;Draynor Chokehold;;Draynor Chokehold;;;;;;;;;x
d_draynor_chokehold_adj;Draynor Chokeholdian;;Draynor Chokeholder;;;;;;;;;;;x
d_draynor_cross;Draynor Cross;Draynor Cross;Draynor Cross;;Draynor Cross;;;;;;;;;x
d_draynor_cross_adj;Draynor Crossian;;Draynor Crosser;;;;;;;;;;;x
d_draynor_jail;Draynor Jail;Draynor Jail;Draynor Jail;;Draynor Jail;;;;;;;;;x
d_draynor_jail_adj;Draynor Jailian;;Draynor Jailer;;;;;;;;;;;x
d_draynor_manor;Draynor Manor;Draynor Manor;Draynor Manor;;Draynor Manor;;;;;;;;;x
d_draynor_manor_adj;Draynor Manorian;;Draynor Manorer;;;;;;;;;;;x
d_draynor_village;Draynor Village;Draynor Village;Draynor Village;;Draynor Village;;;;;;;;;x
d_draynor_village_adj;Draynor Villagean;;Draynor Villager;;;;;;;;;;;x
d_east_lumbridge;East Lumbridge;East Lumbridge;East Lumbridge;;East Lumbridge;;;;;;;;;x
d_east_lumbridge_adj;East Lumbridgean;;East Lumbridger;;;;;;;;;;;x
d_east_varrock;East Varrock;East Varrock;East Varrock;;East Varrock;;;;;;;;;x
d_east_varrock_adj;East Varrockian;;East Varrocker;;;;;;;;;;;x
d_east_varrock_bank;East Varrock Bank;East Varrock Bank;East Varrock Bank;;East Varrock Bank;;;;;;;;;x
d_east_varrock_bank_adj;East Varrock Bankian;;East Varrock Banker;;;;;;;;;;;x
d_edgeville;Edgeville;Edgeville;Edgeville;;Edgeville;;;;;;;;;x
d_edgeville_adj;Edgevillean;;edgeviller;;;;;;;;;;;x
d_grand_exchange;Grand Exchange;Grand Exchange;Grand Exchange;;Grand Exchange;;;;;;;;;x
d_grand_exchange_adj;Grand Exchangean;;Grand Exchanger;;;;;;;;;;;x
d_lumbridge;Lumbridge;Lumbridge;Lumbridge;;Lumbridge;;;;;;;;;x
d_lumbridge_adj;Lumbridgean;;lumbridger;;;;;;;;;;;x
d_lumbridge_path;Lumbridge Path;Lumbridge Path;Lumbridge Path;;Lumbridge Path;;;;;;;;;x
d_lumbridge_path_adj;Lumbridge Pathian;;Lumbridge Pather;;;;;;;;;;;x
d_south_varrock_guard_watch;South Varrock Guard Watch;South Varrock Guard Watch;South Varrock Guard Watch;;South Varrock Guard Watch;;;;;;;;;x
d_south_varrock_guard_watch_adj;South Varrock Guard Watchian;;South Varrock Guard Watcher;;;;;;;;;;;x
d_stronghold_of_security;Stronghold of Security;Stronghold of Security;Stronghold of Security;;Stronghold of Security;;;;;;;;;x
d_stronghold_of_security_adj;Stronghold of Securitian;;Stronghold of Securiter;;;;;;;;;;;x
d_tutorial_island;Tutorial Island;Tutorial Island;Tutorial Island;;Tutorial Island;;;;;;;;;x
d_tutorial_island_adj;Tutorial Islandian;;Tutorial Islander;;;;;;;;;;;x
d_upper_varrock;Upper Varrock;Upper Varrock;Upper Varrock;;Upper Varrock;;;;;;;;;x
d_upper_varrock_adj;Upper Varrockian;;Upper Varrocker;;;;;;;;;;;x
d_varrock_druid_circle;Varrock Druid Circle;Varrock Druid Circle;Varrock Druid Circle;;Varrock Druid Circle;;;;;;;;;x
d_varrock_druid_circle_adj;Varrock Druid Circlean;;Varrock Druid Circler;;;;;;;;;;;x
d_varrock_lum_plains;Varrock Lum Plains;Varrock Lum Plains;Varrock Lum Plains;;Varrock Lum Plains;;;;;;;;;x
d_varrock_lum_plains_adj;Varrock Lum Plainsian;;Varrock Lum Plainser;;;;;;;;;;;x
d_varrock_path;Varrock Path;Varrock Path;Varrock Path;;Varrock Path;;;;;;;;;x
d_varrock_path_adj;Varrock Pathian;;Varrock Pather;;;;;;;;;;;x
d_varrock_square;Varrock Square;Varrock Square;Varrock Square;;Varrock Square;;;;;;;;;x
d_varrock_square_adj;Varrock Squarean;;Varrock Squarer;;;;;;;;;;;x
d_west_varrock_bank;West Varrock Bank;West Varrock Bank;West Varrock Bank;;West Varrock Bank;;;;;;;;;x
d_west_varrock_bank_adj;West Varrock Bankian;;West Varrock Banker;;;;;;;;;;;x
d_west_varrock_guard_watch;West Varrock Guard Watch;West Varrock Guard Watch;West Varrock Guard Watch;;West Varrock Guard Watch;;;;;;;;;x
d_west_varrock_guard_watch_adj;West Varrock Guard Watchian;;West Varrock Guard Watcher;;;;;;;;;;;x
d_wizards_tower;Wizard's Tower;Wizard's Tower;Wizard's Tower;;Wizard's Tower;;;;;;;;;x
d_wizards_tower_adj;Wizards Towerian;;Wizard's Towerer;;;;;;;;;;;x
