#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
SARADOMINIST_VARROCK;Saradominist Church of Varrock;;;;;;;;;;;;;x
SARADOMINIST_VARROCK FOA;;;;;;;;;;;;;;x
saradominist;Saradominist;;;;;;;;;;;;;x
SARADOMINIST_CRUSADE;Great War for Saradomin;;;;;;;;;;;;;x
THE_HOLY_BOOK;The Holy Book;;;;;;;;;;;;;x
PRIEST;Priest;;;;;;;;;;;;;x
SARADOMIN;Saradomin;;;;;;;;;;;;;x
GOD_SARADOMIN;Saradomin;;;;;;;;;;;;;x
GOD_OF_LIGHT;The God of Light;;;;;;;;;;;;;x
GOD_OF_WISDOM;The God of Wisdom;;;;;;;;;;;;;x
GOD_ZAMORAK;Zamorak;;;;;;;;;;;;;x
THE_SCOURGE;The Scourge;;;;;;;;;;;;;x
saradominist_DESC;The church of Saradomin has played an important part in Gielinor since the start of history, since the fourth age it has been the dominant religion. In a constant struggle against those who profess allegience to the chaotic god Zamorak, the church of Saradomin believes in Order and Wisdom.;;;;;;;;;;;;;x
major_gods;Major Gods;;;;;;;;;;;;;x
k_saradominist;Church of Saradomin;;;;;;;;;;;;;
